name,country,age,wealth,source,year
Bill Gates,United States,60,75,Microsoft,2016
Amancio Ortega,Spain,79,67,Zara,2016
Warren Buffett,United States,85,60.8,Berkshire Hathaway,2016
Carlos Slim Helu,Mexico,76,50,Telecom,2016
Jeff Bezos,United States,52,45.2,Amazon.Com,2016
Mark Zuckerberg,United States,31,44.6,Facebook,2016
Larry Ellison,United States,71,43.6,Oracle,2016
Michael Bloomberg,United States,74,40,Bloomberg LP,2016
Charles Koch,United States,80,39.6,Diversified,2016
David Koch,United States,75,39.6,Diversified,2016
Liliane Bettencourt,France,93,36.1,L'Or_al,2016
Larry Page,United States,42,35.2,Google,2016
Sergey Brin,United States,42,34.4,Google,2016
Bernard Arnault,France,66,34,LVMH,2016
Jim Walton,United States,67,33.6,Wal-Mart,2016
Alice Walton,United States,66,32.3,Wal-Mart,2016
S. Robson Walton,United States,71,31.9,Wal-Mart,2016
Wang Jianlin,China,61,28.7,Real Estate,2016
Jorge Paulo Lemann,Brazil,76,27.8,Beer,2016
Li Ka-shing,Hong Kong,87,27.1,Diversified,2016
Beate Heister & Karl Albrecht Jr.,Germany,n/a,25.9,Supermarkets,2016
Sheldon Adelson,United States,82,25.2,Casinos,2016
George Soros,United States,85,24.9,Hedge Funds,2016
Phil Knight,United States,78,24.4,Nike,2016
David Thomson,Canada,58,23.8,Media,2016
Steve Ballmer,United States,59,23.5,Microsoft,2016
"Forrest Mars, Jr.",United States,84,23.4,Candy,2016
Jacqueline Mars,United States,76,23.4,Candy,2016
John Mars,United States,79,23.4,Candy,2016
Maria Franca Fissolo,Italy,98,22.1,"Nutella, Chocolates",2016
Lee Shau Kee,Hong Kong,88,21.5,Real Estate,2016
Stefan Persson,Sweden,68,20.8,H&M,2016
Jack Ma,China,51,20.5,Alibaba,2016
"Theo Albrecht, Jr.",Germany,65,20.3,"Aldi, Trader Joe's",2016
Michael Dell,United States,51,19.8,Dell,2016
Mukesh Ambani,India,58,19.3,"Petrochemicals, Oil & Gas",2016
Leonardo Del Vecchio,Italy,80,18.7,Eyeglasses,2016
Susanne Klatten,Germany,53,18.5,"BMW, Pharmaceuticals",2016
Georg Schaeffler,Germany,51,18.1,Automotive,2016
Paul Allen,United States,63,17.5,"Microsoft, Investments",2016
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,60,17.3,Investments,2016
Joseph Safra,Brazil,77,17.2,Banking,2016
Carl Icahn,United States,80,17,Investments,2016
Laurene Powell Jobs,United States,52,16.7,"Apple, Disney",2016
Dilip Shanghvi,India,60,16.7,Pharmaceuticals,2016
Ma Huateng,China,44,16.6,Internet Services,2016
Dieter Schwarz,Germany,76,16.4,Retail,2016
Ray Dalio,United States,66,15.6,Hedge Funds,2016
Stefan Quandt,Germany,49,15.6,BMW,2016
James Simons,United States,77,15.5,Hedge Funds,2016
Aliko Dangote,Nigeria,58,15.4,"Cement, Sugar, Flour",2016
Michael Otto,Germany,72,15.4,"Retail, Real Estate",2016
Len Blavatnik,United States,58,15.3,Diversified,2016
Donald Bren,United States,83,15.1,Real Estate,2016
Azim Premji,India,70,15,Software Services,2016
Serge Dassault,France,90,14.7,Aviation,2016
Tadashi Yanai,Japan,67,14.6,Retail,2016
Cheng Yu-tung,Hong Kong,90,14.5,Diversified,2016
Hinduja family,United Kingdom,n/a,14.5,Hinduja Group,2016
Leonid Mikhelson,Russia,60,14.4,"Gas, Chemicals",2016
David & Simon Reuben,United Kingdom,73,14.4,"Investments, Real Estate",2016
Stefano Pessina,Italy,74,13.4,Drugstores,2016
Mikhail Fridman,Russia,51,13.3,"Oil, Banking, Telecom",2016
Dietrich Mateschitz,Austria,71,13.2,Red Bull,2016
Abigail Johnson,United States,54,13.1,Money Management,2016
Kjeld Kirk Kristiansen,Denmark,68,13.1,Lego,2016
Joseph Lau,Hong Kong,64,13.1,Real Estate,2016
Gerald Cavendish Grosvenor,United Kingdom,64,13,Real Estate,2016
Thomas & Raymond Kwok,Hong Kong,n/a,13,Real Estate,2016
Marcel Herrmann Telles,Brazil,66,13,Beer,2016
Henry Sy,Philippines,91,12.9,SM Investments Corporation,2016
Steve Cohen,United States,60,12.7,Hedge Funds,2016
Pallonji Mistry,Ireland,86,12.5,Construction,2016
Hans Rausing,Sweden,89,12.5,Packaging,2016
