name,wealth,age,source,country,year
Jeff Bezos,112,54,Amazon,United States,2018
Bill Gates,90,62,Microsoft,United States,2018
Warren Buffett,84,87,Berkshire Hathaway,United States,2018
Bernard Arnault,72,69,LVMH,France,2018
Mark Zuckerberg,71,33,Facebook,United States,2018
Amancio Ortega,70,81,Zara,Spain,2018
Carlos Slim Helu,67.1,78,telecom,Mexico,2018
Charles Koch,60,82,Koch Industries,United States,2018
David Koch,60,77,Koch Industries,United States,2018
Larry Ellison,58.5,73,software,United States,2018
Michael Bloomberg,50,76,Bloomberg LP,United States,2018
Larry Page,48.8,44,Google,United States,2018
Sergey Brin,47.5,44,Google,United States,2018
Jim Walton,46.4,69,Walmart,United States,2018
S. Robson Walton,46.2,73,Walmart,United States,2018
Alice Walton,46,68,Walmart,United States,2018
Ma Huateng,45.3,46,internet media,China,2018
Francoise Bettencourt Meyers,42.2,64,L'Oreal,France,2018
Mukesh Ambani,40.1,60,"petrochemicals, oil & gas",India,2018
Jack Ma,39,53,e-commerce,China,2018
Sheldon Adelson,38.5,84,casinos,United States,2018
Steve Ballmer,38.4,61,Microsoft,United States,2018
Li Ka-shing,34.9,89,diversified,Hong Kong,2018
Hui Ka Yan,30.3,59,real estate,China,2018
Lee Shau Kee,30.3,90,real estate,Hong Kong,2018
Wang Jianlin,30,63,real estate,China,2018
Beate Heister & Karl Albrecht Jr.,29.8,66,supermarkets,Germany,2018
Phil Knight,29.6,80,Nike,United States,2018
Jorge Paulo Lemann,27.4,78,beer,Brazil,2018
Francois Pinault,27,81,luxury goods,France,2018
Georg Schaeffler,25.3,53,auto parts,Germany,2018
Susanne Klatten,25,55,"BMW, pharmaceuticals",Germany,2018
David Thomson,25,60,media,Canada,2018
Jacqueline Mars,23.6,78,"candy, pet food",United States,2018
John Mars,23.6,82,"candy, pet food",United States,2018
Joseph Safra,23.5,79,banking,Brazil,2018
Giovanni Ferrero,23,53,"Nutella, chocolates",Italy,2018
Dietrich Mateschitz,23,73,Red Bull,Austria,2018
Michael Dell,22.7,53,Dell computers,United States,2018
Masayoshi Son,22.7,60,"internet, telecom",Japan,2018
Serge Dassault,22.6,92,diversified,France,2018
Stefan Quandt,22,51,BMW,Germany,2018
Yang Huiyan,21.9,36,real estate,China,2018
Paul Allen,21.7,65,"Microsoft, investments",United States,2018
Leonardo Del Vecchio,21.2,82,eyeglasses,Italy,2018
Dieter Schwarz,20.9,78,retail,Germany,2018
Thomas Peterffy,20.3,73,discount brokerage,United States,2018
"Theo Albrecht, Jr.",20.2,67,"Aldi, Trader Joe's",Germany,2018
