name,country,age,wealth,source,year
Carlos Slim Helu & family,Mexico,72,69,telecom,2012
Bill Gates,United States,56,61,Microsoft,2012
Warren Buffett,United States,81,44,Berkshire Hathaway,2012
Bernard Arnault,France,63,41,LVMH,2012
Amancio Ortega,Spain,75,37.5,Zara,2012
Larry Ellison,United States,67,36,Oracle,2012
Eike Batista,Brazil,55,30,"mining, oil",2012
Stefan Persson,Sweden,64,26,H&M,2012
Li Ka-shing,Hong Kong,83,25.5,diversified,2012
Karl Albrecht,Germany,92,25.4,Aldi,2012
Christy Walton & family,United States,57,25.3,Wal-Mart,2012
Charles Koch,United States,76,25,diversified,2012
David Koch,United States,71,25,diversified,2012
Sheldon Adelson,United States,78,24.9,casinos,2012
Liliane Bettencourt,France,89,24,L'Oreal,2012
Jim Walton,United States,64,23.7,Wal-Mart,2012
Alice Walton,United States,62,23.3,Wal-Mart,2012
S. Robson Walton,United States,68,23.1,Wal-Mart,2012
Mukesh Ambani,India,54,22.3,"petrochemicals, oil & gas",2012
Michael Bloomberg,United States,70,22,Bloomberg LP,2012
Lakshmi Mittal,India,61,20.7,steel,2012
George Soros,United States,81,20,hedge funds,2012
Michele Ferrero & family,Italy,85,19,chocolates,2012
Sergey Brin,United States,38,18.7,Google,2012
Larry Page,United States,39,18.7,Google,2012
Jeff Bezos,United States,48,18.4,Amazon.com,2012
Thomas & Raymond Kwok & family,Hong Kong,N/A,18.3,real estate,2012
Alisher Usmanov,Russia,58,18.1,"steel, telecom, investments",2012
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,57,18,investments,2012
Lee Shau Kee,Hong Kong,84,18,diversified,2012
Georgina Rinehart,Australia,58,18,Mining,2012
Berthold & Theo Jr. Albrecht,Germany,N/A,17.8,"Aldi, Trader Joe's",2012
Iris Fontbona & family,Chile,69,17.8,mining,2012
Michael Otto & family,Germany,68,17.6,"retail, real estate",2012
David Thomson & family,Canada,54,17.5,media,2012
Mark Zuckerberg,United States,27,17.5,Facebook,2012
Ricardo Salinas Pliego & family,Mexico,56,17.4,"retail, media",2012
Alberto Bailleres Gonzalez & family,Mexico,80,16.5,mining,2012
Rinat Akhmetov,Ukraine,45,16,"steel, coal",2012
Cheng Yu-tung,Hong Kong,86,16,diversified,2012
Michael Dell,United States,47,15.9,Dell,2012
Vladimir Lisin,Russia,55,15.9,"steel, transport",2012
Azim Premji,India,66,15.9,software,2012
Steve Ballmer,United States,56,15.7,Microsoft,2012
Alexei Mordashov,Russia,46,15.3,"steel, investments",2012
Vladimir Potanin,Russia,51,14.5,metals,2012
Phil Knight,United States,74,14.4,Nike,2012
Paul Allen,United States,59,14.2,"Microsoft, investments",2012
