name,wealth,country,year,age 
"Gates, William H. III",51,USA,1998,
"Walton, Family",48,USA,1998,
"Bolkiah, Sultan Hassanal",36,Brunei,1998,
"Buffett, Warren Edward",33,USA,1998,
"Alsaud, King Faud Bin Abdul Aziz",25,Saudi Arabia,1998,
"Allen, Paul Gardner",21,USA,1998,
"Al Nahyan, Sheikh Zayed Bin Sultan",15,UAE,1998,
"Al-sabah, Sheikh Jaber Al-ahmed Al-jaber",15,Kuwait,1998,
"Thomson, Kenneth",14.4,Canada,1998,
"Mars, Forrest Edward Sr. And Family",13.5,USA,1998,
"Pritzker, Jay A. And Robert A.",13.5,USA,1998,
"Alsaud, Prince Alwaleed Bin Talal",13.3,Saudi Arabia,1998,
Lee Shau Kee,12.7,Hong Kong,1998,
"Albrecht, Theo & Karl and family",11.7,Germany,1998,
"Ballmer, Steven Anthony",10.7,USA,1998,
"Mulliez, Gerard and family",10.3,France,1998,
"Al-Maktoum, Makhtoum bin Rashid",10,Dubai,1998,
"Dell, Michael",10,USA,1998,
Li Ka-shing,10,Hong Kong,1998,
"Botin, Emilio and family",9.2,Spain,1998,
"Newhouse, Samuel I. Jr. And Donald E.",9,USA,1998,
"Anschutz, Philip F.",8.8,USA,1998,
"Cargill, Family",8.8,USA,1998,
Tsai Wan-lin and family,8.5,Taiwan,1998,
"Haas, Family",8.2,USA,1998,
"Fisher, Family",8,USA,1998,
"Hopp, Dietmar and sons",7.9,Germany,1998,
"Kluge, John Werner",7.8,USA,1998,
"Moore, Gordon Earl",7.5,USA,1998,
"Kwok, Walter, Thomas, and Raymond",7.4,Hong Kong,1998,
"Slim Helu, Carlos",7.2,Mexico,1998,
"Berlusconi, Silvio",7,Italy,1998,
"Olayan, Suliman",7,Saudi Arabia,1998,
"Plattner, Hasso",6.9,Germany,1998,
"Bass, Lee, Sid And Perry",6.6,USA,1998,
"Perelman, Ronald Owen",6.6,USA,1998,
"Pinault, Francois",6.6,France,1998,
President Hafez Al-Assad,6.6,USA,1998,
"Landolt, Pierre and family",6.5,Switzerland,1998,
