name,wealth,country,year,age 
"Gates, William H III",52.8,United States,2002,
"Buffett, Warren E",35,United States,2002,
"Albrecht, Karl & Theo",26.8,Germany,2002,
"Allen, Paul G",25.2,United States,2002,
"Ellison, Lawrence J",23.5,United States,2002,
"Walton, Jim C",20.8,United States,2002,
"Walton, John T",20.7,United States,2002,
"Walton, Alice L",20.5,United States,2002,
"Walton, S Robson",20.5,United States,2002,
"Walton, Helen R",20.4,United States,2002,
"Alsaud, Prince Alwaleed Bin Talal",20,Saudi Arabia,2002,
"Quandt, Johanna & family",18.4,Germany,2002,
"Bettencourt, Liliane",14.9,France,2002,
"Thomson, Kenneth & family",14.9,Canada,2002,
"Ballmer, Steven A",14.8,United States,2002,
"Kamprad, Ingvar",13.4,Sweden,2002,
"Slim Helu, Carlos",11.5,Mexico,2002,
"Dell, Michael S",11.1,United States,2002,
"Rausing, Kirsten & family",10.7,Sweden,2002,
"Kluge, John W",10.5,United States,2002,
"Anthony, Barbara Cox",10.1,United States,2002,
"Chambers, Anne Cox",10.1,United States,2002,
LiæKa-shing,10,Hong Kong,2002,
"Kwok, Walter, Thomas & Raymond",9.2,Hong Kong,2002,
"Ortega, Amancio",9.1,Spain,2002,
"Mars, Forrest E Jr",9,United States,2002,
"Mars, Jacqueline Badger",9,United States,2002,
"Mars, John F",9,United States,2002,
"Johnson, Abigail",8.6,United States,2002,
"Saji, Nobutada & family",8.6,Japan,2002,
"Bertarelli, Ernesto & family",8.4,Switzerland,2002,
"Redstone, Sumner M",8.1,United States,2002,
"Rausing, Hans",7.7,Sweden,2002,
"Olayan, Suliman & family",7.6,Saudi Arabia,2002,
"Berlusconi, Silvio",7.2,Italy,2002,
"Arnault, Bernard",7,France,2002,
"Soros, George",6.9,United States,2002,
"Grosvenor, Gerald Cavendish",6.7,United Kingdom,2002,
"Del Vecchio, Leonardo",6.6,Italy,2002,
"Otto, Michael & family",6.5,Germany,2002,
"Premji, Azim",6.4,India,2002,
"Ergen, Charles",6.2,United States,2002,
