name,country,age,wealth,source,year
Bill Gates,United States,58,76,Microsoft,2014
Carlos Slim Helu & family,Mexico,74,72,telecom,2014
Amancio Ortega,Spain,77,64,retail,2014
Warren Buffett,United States,83,58.2,Berkshire Hathaway,2014
Larry Ellison,United States,69,48,Oracle,2014
Charles Koch,United States,78,40,diversified,2014
David Koch,United States,73,40,diversified,2014
Sheldon Adelson,United States,80,38,casinos,2014
Christy Walton & family,United States,59,36.7,Wal-Mart,2014
Jim Walton,United States,66,34.7,Wal-Mart,2014
Liliane Bettencourt & family,France,91,34.5,L'Oreal,2014
Stefan Persson,Sweden,66,34.4,H&M,2014
Alice Walton,United States,64,34.3,Wal-Mart,2014
S. Robson Walton,United States,70,34.2,Wal-Mart,2014
Bernard Arnault & family,France,64,33.5,LVMH,2014
Michael Bloomberg,United States,72,33,Bloomberg LP,2014
Larry Page,United States,40,32.3,Google,2014
Jeff Bezos,United States,50,32,Amazon.com,2014
Sergey Brin,United States,40,31.8,Google,2014
Li Ka-shing,Hong Kong,85,31,diversified,2014
Mark Zuckerberg,United States,29,28.5,Facebook,2014
Michele Ferrero & family,Italy,88,26.5,chocolates,2014
Karl Albrecht,Germany,94,25,retail,2014
Aliko Dangote,Nigeria,56,25,"cement, sugar, flour",2014
Carl Icahn,United States,78,24.5,investments,2014
George Soros,United States,83,23,hedge funds,2014
David Thomson & family,Canada,56,22.6,media,2014
Lui Che Woo,Hong Kong,84,22,casinos,2014
Dieter Schwarz,Germany,74,21.1,retail,2014
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,58,20.4,investments,2014
"Forrest Mars, Jr.",United States,82,20,candy,2014
Jacqueline Mars,United States,74,20,candy,2014
John Mars,United States,77,20,candy,2014
Jorge Paulo Lemann,Brazil,74,19.7,beer,2014
Lee Shau Kee,Hong Kong,86,19.6,diversified,2014
"Theo Albrecht, Jr. & family",Germany,63,19.3,"Aldi, Trader Joe's",2014
Steve Ballmer,United States,57,19.3,Microsoft,2014
Leonardo Del Vecchio,Italy,78,19.2,eyeglasses,2014
Len Blavatnik,United States,56,18.7,diversified,2014
Mukesh Ambani,India,56,18.6,"petrochemicals, oil & gas",2014
Alisher Usmanov,Russia,60,18.6,"steel, telecom, investments",2014
