name,country,age,wealth,source,year
Carlos Slim Helu & family,Mexico,73,73,telecom,2013
Bill Gates,United States,57,67,Microsoft,2013
Amancio Ortega,Spain,76,57,Zara,2013
Warren Buffett,United States,82,53.5,Berkshire Hathaway,2013
Larry Ellison,United States,68,43,Oracle,2013
Charles Koch,United States,77,34,diversified,2013
David Koch,United States,72,34,diversified,2013
Li Ka-shing,Hong Kong,84,31,diversified,2013
Liliane Bettencourt & family,France,90,30,L'Or_al,2013
Bernard Arnault & family,France,64,29,LVMH,2013
Christy Walton & family,United States,58,28.2,Wal-Mart,2013
Stefan Persson,Sweden,65,28,H&M,2013
Michael Bloomberg,United States,71,27,Bloomberg LP,2013
Jim Walton,United States,65,26.7,Wal-Mart,2013
Sheldon Adelson,United States,79,26.5,casinos,2013
Alice Walton,United States,63,26.3,Wal-Mart,2013
S. Robson Walton,United States,69,26.1,Wal-Mart,2013
Karl Albrecht,Germany,93,26,Aldi,2013
Jeff Bezos,United States,49,25.2,Amazon.com,2013
Larry Page,United States,39,23,Google,2013
Sergey Brin,United States,39,22.8,Google,2013
Mukesh Ambani,India,55,21.5,"petrochemicals, oil & gas",2013
Michele Ferrero & family,Italy,87,20.4,chocolates,2013
Lee Shau Kee,Hong Kong,85,20.3,diversified,2013
David Thomson & family,Canada,55,20.3,media,2013
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,58,20,investments,2013
Carl Icahn,United States,77,20,leveraged buyouts,2013
Thomas & Raymond Kwok & family,Hong Kong,-,20,real estate,2013
Dieter Schwarz,Germany,73,19.5,retail,2013
George Soros,United States,82,19.2,hedge funds,2013
"Theo Albrecht, Jr. & family",Germany,62,18.9,"Aldi, Trader Joe's",2013
Alberto Bailleres Gonzalez & family,Mexico,81,18.2,mining,2013
Jorge Paulo Lemann,Brazil,73,17.8,beer,2013
Alisher Usmanov,Russia,59,17.6,"steel, telecom, investments",2013
Iris Fontbona & family,Chile,70,17.4,mining,2013
"Forrest Mars, Jr.",United States,81,17,candy,2013
Jacqueline Mars,United States,73,17,candy,2013
John Mars,United States,76,17,candy,2013
Georgina Rinehart,Australia,59,17,mining,2013
German Larrea Mota Velasco & family,Mexico,59,16.7,mining,2013
Mikhail Fridman,Russia,48,16.5,"oil, banking, telecom",2013
Lakshmi Mittal,India,62,16.5,steel,2013
Aliko Dangote,Nigeria,55,16.1,"cement, sugar, flour",2013
Len Blavatnik,United States,55,16,diversified,2013
Cheng Yu-tung,Hong Kong,87,16,diversified,2013
Joseph Safra,Brazil,74,15.9,banking,2013
Rinat Akhmetov,Ukraine,46,15.4,"steel, coal",2013
Leonid Mikhelson,Russia,57,15.4,"gas, chemicals",2013
Leonardo Del Vecchio,Italy,77,15.3,eyeglasses,2013
Michael Dell,United States,48,15.3,Dell,2013
Steve Ballmer,United States,56,15.2,Microsoft,2013
Viktor Vekselberg,Russia,55,15.1,"oil, metals",2013
Paul Allen,United States,60,15,"Microsoft, investments",2013
Francois Pinault & family,France,76,15,retail,2013
Vagit Alekperov,Russia,62,14.8,Lukoil,2013
Phil Knight,United States,75,14.4,Nike,2013
Andrey Melnichenko,Russia,41,14.4,"coal, fertilizers",2013
Dhanin Chearavanont & family,Thailand,73,14.3,food,2013
Susanne Klatten,Germany,50,14.3,"BMW, pharmaceuticals",2013
Vladimir Potanin,Russia,52,14.3,metals,2013
Michael Otto & family,Germany,69,14.2,"retail, real estate",2013
Vladimir Lisin,Russia,56,14.1,"steel, transport",2013
Gennady Timchenko,Russia,60,14.1,oil & gas,2013
Luis Carlos Sarmiento,Colombia,80,13.9,banking,2013
Mohammed Al Amoudi,Saudi Arabia,68,13.5,"oil, diversified",2013
Tadashi Yanai & family,Japan,64,13.3,retail,2013
Mark Zuckerberg,United States,28,13.3,Facebook,2013
Henry Sy & family,Philippines,88,13.2,diversified,2013
Donald Bren,United States,80,13,real estate,2013
Serge Dassault & family,France,87,13,aviation,2013
Lee Kun-Hee,South Korea,71,13,Samsung,2013
Mikhail Prokhorov,Russia,47,13,investments,2013
Alexey Mordashov,Russia,47,12.8,"steel, investments",2013
Antonio Ermirio de Moraes & family,Brazil,84,12.7,diversified,2013
Abigail Johnson,United States,51,12.7,money management,2013
Ray Dalio,United States,63,12.5,hedge funds,2013
Robert Kuok,Malaysia,89,12.5,diversified,2013
Miuccia Prada,Italy,63,12.4,Prada,2013
Ronald Perelman,United States,70,12.2,leveraged buyouts,2013
Anne Cox Chambers,United States,93,12,media,2013
Stefan Quandt,Germany,46,11.9,BMW,2013
Ananda Krishnan,Malaysia,74,11.7,telecoms,2013
Alejandro Santo Domingo Davila,Colombia,36,11.7,beer,2013
James Simons,United States,74,11.7,hedge funds,2013
Charoen Sirivadhanabhakdi,Thailand,68,11.7,drinks,2013
Zong Qinghou,China,67,11.6,beverages,2013
Dirce Navarro De Camargo & family,Brazil,-,11.5,construction,2013
John Fredriksen,Cyprus,68,11.5,shipping,2013
Gerald Cavendish Grosvenor & family,United Kingdom,61,11.4,real estate,2013
Harold Hamm,United States,67,11.3,oil & gas,2013
Rupert Murdoch,United States,81,11.2,News Corp,2013
John Paulson,United States,57,11.2,hedge funds,2013
Azim Premji,India,67,11.2,software,2013
Ernesto Bertarelli & family,Switzerland,47,11,"biotech, investments",2013
Charlene de Carvalho-Heineken,Netherlands,58,11,Heineken,2013
Hans Rausing,Sweden,86,11,packaging,2013
Jack Taylor & family,United States,90,11,Enterprise Rent-A-Car,2013
Lui Che Woo,Hong Kong,83,10.7,gaming,2013
Laurene Powell Jobs & family,United States,49,10.7,"Apple, Disney",2013
Eike Batista,Brazil,56,10.6,"mining, oil",2013
Charles Ergen,United States,60,10.6,EchoStar,2013
Johanna Quandt,Germany,86,10.6,BMW,2013
German Khan,Russia,51,10.5,"oil, banking, telecom",2013
Pallonji Mistry,Ireland,83,10.5,construction,2013
David & Simon Reuben,United Kingdom,70,10.5,"investments, real estate",2013
Petr Kellner,Czech Republic,48,10.4,"banking, insurance",2013
Roman Abramovich,Russia,46,10.2,"steel, investments",2013
Ng Robert & Philip,Singapore,-,10.1,real estate,2013
Philip Anschutz,United States,73,10,investments,2013
George Kaiser,United States,70,10,"oil & gas, banking",2013
Ricardo Salinas Pliego & family,Mexico,57,9.9,"retail, media",2013
Richard Kinder,United States,68,9.8,pipelines,2013
Tsai Eng-Meng,Taiwan,56,9.8,food,2013
Horst Paulmann & family,Chile,78,9.7,retail,2013
Michael Kadoorie & family,Hong Kong,72,9.5,diversified,2013
Dilip Shanghvi,India,57,9.4,pharmaceuticals,2013
Steve Cohen,United States,57,9.3,hedge funds,2013
Antonia Johnson,Sweden,69,9.2,diversified,2013
Dmitry Rybolovlev,Russia,46,9.1,fertilizer,2013
Marcel Herrmann Telles,Brazil,63,9.1,beer,2013
Klaus-Michael Kuhne,Germany,75,9,shipping,2013
Hasso Plattner,Germany,69,8.9,software,2013
Iskander Makhmudov,Russia,49,8.7,"mining, metals, machinery",2013
Joao Roberto Marinho,Brazil,59,8.7,media,2013
Roberto Irineu Marinho,Brazil,65,8.7,media,2013
Pierre Omidyar,United States,45,8.7,Ebay,2013
Hansjoerg Wyss,Switzerland,78,8.7,medical devices,2013
Jose Roberto Marinho,Brazil,57,8.6,media,2013
Masayoshi Son,Japan,55,8.6,"Internet, telecom",2013
Wang Jianlin,China,58,8.6,real estate,2013
Giorgio Armani,Italy,78,8.5,fashion,2013
Andrew Beal,United States,60,8.5,"banks, real estate",2013
Oleg Deripaska,Russia,45,8.5,"aluminum, utilities",2013
R. Budi Hartono,Indonesia,72,8.5,"banking, tobacco",2013
Shashi & Ravi Ruia,India,-,8.5,diversified,2013
Srichand & Gopichand Hinduja,United Kingdom,77,8.3,diversified,2013
Harold Simmons,United States,81,8.3,investments,2013
Sergei Galitsky,Russia,45,8.2,retail,2013
Michael Hartono,Indonesia,73,8.2,"tobacco, banking",2013
Alexei Kuzmichev,Russia,50,8.2,"oil, banking, telecom",2013
Eric Schmidt,United States,57,8.2,Google,2013
August von Finck,Germany,82,8.2,investments,2013
Leonard Lauder,United States,79,8.1,Estee Lauder,2013
"Samuel Newhouse, Jr.",United States,85,8.1,Conde Nast,2013
Elaine Marshall & family,United States,70,8,inherited,2013
Patrick Soon-Shiong,United States,61,8,pharmaceuticals,2013
Alain & Gerard Wertheimer,France,-,8,Chanel,2013
Galen Weston & family,Canada,72,8,retail,2013
Peter Woo & family,Hong Kong,67,8,real estate,2013
Kumar Birla,India,45,7.9,commodities,2013
Carlos Alberto Sicupira,Brazil,65,7.9,beer,2013
Andrei Skoch,Russia,47,7.9,steel,2013
Tsai Wan-Tsai & family,Taiwan,83,7.8,finance,2013
James Goodnight,United States,70,7.7,software,2013
Savitri Jindal & family,India,62,7.6,steel,2013
Klaus Tschira,Germany,72,7.5,SAP,2013
Charles Butt,United States,75,7.4,supermarkets,2013
Kjeld Kirk Kristiansen,Denmark,65,7.3,Lego,2013
Liang Wengen,China,56,7.3,manufacturing,2013
Donald Newhouse,United States,83,7.3,Conde Nast,2013
Dieter Schnabel,Germany,67,7.2,chemicals,2013
Leonid Fedun,Russia,56,7.1,Lukoil,2013
Suleiman Kerimov,Russia,46,7.1,investments,2013
Dietrich Mateschitz,Austria,68,7.1,Red Bull,2013
Ludwig Merckle,Germany,48,7.1,pharmaceuticals,2013
Mohamed Bin Issa Al Jaber,Saudi Arabia,54,7,"real estate, hotels",2013
"Edward Johnson, III.",United States,82,7,Fidelity,2013
Joseph Lau,Hong Kong,61,7,real estate,2013
Ralph Lauren,United States,73,7,Ralph Lauren,2013
"John Menard, Jr.",United States,73,7,retail,2013
David Tepper,United States,55,7,hedge funds,2013
Robin Li,China,44,6.9,technology,2013
Ma Huateng,China,41,6.8,internet,2013
Sunil Mittal & family,India,55,6.8,telecom,2013
Patrizio Bertelli,Italy,67,6.7,luxury goods,2013
Filaret Galchev,Russia,49,6.7,construction materials,2013
Ivan Glasenberg,Australia,56,6.7,commodities,2013
Vladimir Yevtushenkov,Russia,64,6.7,telecom,2013
Eva Gonda Rivera and family,Mexico,-,6.6,beverages,2013
Xavier Niel,France,45,6.6,"internet, telecom",2013
Johann Rupert & family,South Africa,62,6.6,luxury goods,2013
Dietmar Hopp,Germany,72,6.5,SAP,2013
Shiv Nadar,India,67,6.5,information technology,2013
Idan Ofer,Israel,57,6.5,"drilling, shipping",2013
Nicky Oppenheimer & family,South Africa,67,6.5,diamonds,2013
Ira Rennert,United States,78,6.5,investments,2013
Nassef Sawiris,Egypt,52,6.5,construction,2013
Stephen Schwarzman,United States,66,6.5,private equity,2013
Stefano Pessina,Italy,71,6.4,drugstores,2013
Heinz Hermann Thiele & family,Germany,71,6.4,brakes,2013
Eli Broad,United States,79,6.3,investments,2013
Chung Mong-Koo,South Korea,74,6.3,Hyundai motor,2013
Kushal Pal Singh,India,81,6.3,real estate,2013
Silvio Berlusconi & family,Italy,76,6.2,media,2013
Eduardo Belmont Anderson,Peru,-,6.1,cosmetics,2013
Rosalia Mera,Spain,69,6.1,Zara,2013
Paolo & Gianfelice Mario Rocca,Italy,-,6.1,pipes,2013
Sulaiman Al Rajhi & family,Saudi Arabia,93,6,banking,2013
David Geffen,United States,70,6,"movies, music",2013
Jim Kennedy,United States,65,6,media,2013
Liu Yongxing,China,64,6,agribusiness,2013
Margarita Louis-Dreyfus,Switzerland,50,6,commodities,2013
John Malone,United States,72,6,cable television,2013
Eyal Ofer,Israel,62,6,"real estate, shipping",2013
James Packer,Australia,45,6,gaming,2013
Blair Parry-Okeden,United States,62,6,media,2013
Olav Thon,Norway,89,6,real estate,2013
Reinhold Wurth,Germany,77,6,fasteners,2013
Hui Ka Yan,China,54,5.9,real estate,2013
Sergei Popov,Russia,41,5.8,banking,2013
Micky Arison,United States,63,5.7,Carnival Cruises,2013
Andrew Forrest,Australia,51,5.7,mining,2013
Charles Johnson,United States,80,5.7,money management,2013
Yang Huiyan,China,31,5.7,real estate,2013
Ray Lee Hunt,United States,70,5.6,"oil, real estate",2013
"Rupert Johnson, Jr.",United States,71,5.6,money management,2013
Hiroshi Mikitani,Japan,48,5.6,online retailing,2013
Teh Hong Piow,Malaysia,82,5.6,banking,2013
Carlos and Alejandro Bulgheroni,Argentina,-,5.5,oil and gas,2013
Charles Cadogan & family,United Kingdom,75,5.5,real estate,2013
Jeffrey Hildebrand,United States,54,5.5,Oil,2013
Jim Pattison,Canada,84,5.5,diversified,2013
Juan Roig,Spain,63,5.5,supermarkets,2013
Thomas Schmidheiny,Switzerland,67,5.5,cement,2013
Carlos Ardila Lulle,Colombia,82,5.4,"soft drinks, diversified",2013
Pyotr Aven,Russia,57,5.4,"oil, banking, telecom",2013
Johann Graf,Austria,66,5.4,gambling machines,2013
Richard LeFrak & family,United States,67,5.4,real estate,2013
Graeme Hart,New Zealand,57,5.3,investments,2013
Bidzina Ivanishvili,Georgia,57,5.3,investments,2013
Frank Lowy,Australia,82,5.3,shopping malls,2013
Wei Jianjun & family,China,49,5.3,automobiles,2013
Anil Ambani,India,53,5.2,diversified,2013
Jean-Claude Decaux & family,France,75,5.2,advertising,2013
Denis O'Brien,Ireland,54,5.2,telecom,2013
Jorn Rausing,Sweden,53,5.2,inherited,2013
Tang Yiu & family,Hong Kong,79,5.2,retail,2013
Dennis Washington,United States,78,5.2,"construction, mining",2013
Dannine Avara,United States,49,5.1,pipelines,2013
Richard DeVos,United States,87,5.1,Amway,2013
Scott Duncan,United States,30,5.1,pipelines,2013
Milane Frantz,United States,43,5.1,pipelines,2013
Terry Gou,Taiwan,62,5.1,electronics,2013
Karl-Heinz Kipp,Germany,89,5.1,retail,2013
Finn Rausing,Sweden,58,5.1,inherited,2013
Kirsten Rausing,Sweden,60,5.1,packaging,2013
Randa Williams,United States,51,5.1,pipelines,2013
Isak Andic & family,Spain,59,5,Mango,2013
Maria Asuncion Aramburuzabala & family,Mexico,49,5,beer,2013
Philip & Cristina Green,United Kingdom,60,5,retail,2013
Stanley Kroenke,United States,65,5,"sports, real estate",2013
Hank & Doug Meijer,United States,-,5,supermarkets,2013
Akira Mori & family,Japan,76,5,real estate,2013
Augusto & Giorgio Perfetti,Italy,-,5,candy,2013
Thomas Peterffy,United States,68,5,discount brokerage,2013
