name,country,age,wealth,source,year
Bill Gates,United States,59,79.2,Microsoft,2015
Carlos Slim Helu,Mexico,75,77.1,Telecom,2015
Warren Buffett,United States,84,72.7,Berkshire Hathaway,2015
Amancio Ortega,Spain,78,64.5,Zara,2015
Larry Ellison,United States,70,54.3,Oracle,2015
Charles Koch,United States,79,42.9,Diversified,2015
David Koch,United States,74,42.9,Diversified,2015
Christy Walton,United States,60,41.7,Wal-Mart,2015
Jim Walton,United States,67,40.6,Wal-Mart,2015
Liliane Bettencourt,France,92,40.1,L'Or_al,2015
Alice Walton,United States,65,39.4,Wal-Mart,2015
S. Robson Walton,United States,71,39.1,Wal-Mart,2015
Bernard Arnault,France,66,37.2,Lvmh,2015
Michael Bloomberg,United States,73,35.5,Bloomberg Lp,2015
Jeff Bezos,United States,51,34.8,Amazon.Com,2015
Mark Zuckerberg,United States,30,33.4,Facebook,2015
Li Ka-shing,Hong Kong,86,33.3,Diversified,2015
Sheldon Adelson,United States,81,31.4,Casinos,2015
Larry Page,United States,41,29.7,Google,2015
Sergey Brin,United States,41,29.2,Google,2015
Georg Schaeffler,Germany,50,26.9,Ball Bearings,2015
"Forrest Mars, Jr.",United States,83,26.6,Candy,2015
Jacqueline Mars,United States,75,26.6,Candy,2015
John Mars,United States,78,26.6,Candy,2015
David Thomson,Canada,57,25.5,Media,2015
Jorge Paulo Lemann,Brazil,75,25,Beer,2015
Lee Shau Kee,Hong Kong,87,24.8,Real Estate,2015
Stefan Persson,Sweden,67,24.5,H&M,2015
George Soros,United States,84,24.2,Hedge Funds,2015
Wang Jianlin,China,60,24.2,Real Estate,2015
Carl Icahn,United States,79,23.5,Investments,2015
Maria Franca Fissolo,Italy,97,23.4,"Nutella, Chocolates",2015
Jack Ma,China,50,22.7,E-Commerce,2015
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,59,22.6,Investments,2015
Steve Ballmer,United States,58,21.5,Microsoft,2015
Phil Knight,United States,77,21.5,Nike,2015
Beate Heister & Karl Albrecht Jr.,Germany,n/a,21.3,Supermarkets,2015
Li Hejun,China,47,21.1,Solar Power Equipment,2015
Mukesh Ambani,India,57,21,"Petrochemicals, Oil & Gas",2015
Leonardo Del Vecchio,Italy,79,20.4,Eyeglasses,2015
Len Blavatnik,United States,57,20.2,Diversified,2015
Tadashi Yanai,Japan,66,20.2,Retail,2015
Charles Ergen,United States,62,20.1,Dish Network,2015
Dilip Shanghvi,India,59,20,Pharmaceuticals,2015
Laurene Powell Jobs,United States,51,19.5,"Apple, Disney",2015
Dieter Schwarz,Germany,75,19.4,Retail,2015
Michael Dell,United States,50,19.2,Dell,2015
Azim Premji,India,69,19.1,Software,2015
"Theo Albrecht, Jr.",Germany,64,19,"Aldi, Trader Joe's",2015
Michael Otto,Germany,71,18.1,"Retail, Real Estate",2015
Paul Allen,United States,62,17.5,"Microsoft, Investments",2015
Joseph Safra,Brazil,76,17.3,Banking,2015
Anne Cox Chambers,United States,95,17,Media,2015
Susanne Klatten,Germany,52,16.8,"Bmw, Pharmaceuticals",2015
Pallonji Mistry,Ireland,85,16.3,Construction,2015
Ma Huateng,China,43,16.1,Internet Media,2015
Patrick Drahi,France,51,16,Telecom,2015
Thomas & Raymond Kwok,Hong Kong,n/a,15.9,Real Estate,2015
Stefan Quandt,Germany,48,15.6,Bmw,2015
Ray Dalio,United States,65,15.4,Hedge Funds,2015
Vladimir Potanin,Russia,54,15.4,Metals,2015
Serge Dassault,France,89,15.3,Aviation,2015
Robin Li,China,46,15.3,Internet Search,2015
Donald Bren,United States,82,15.2,Real Estate,2015
Francois Pinault,France,78,14.9,Retail,2015
Shiv Nadar,India,69,14.8,Information Technology,2015
Aliko Dangote,Nigeria,57,14.7,"Cement, Sugar, Flour",2015
Mikhail Fridman,Russia,50,14.6,"Oil, Banking, Telecom",2015
Hinduja Brothers,United Kingdom,n/a,14.5,Diversified,2015
